id,WorkDatasetSize,WorkMethodsFrequency,Frequency
1044,1GB,A/B,Often
1045,100MB,A/B,NA
1046,1TB,A/B,NA
1047,1GB,A/B,Most of the time
1048,100MB,A/B,NA
1049,100MB,A/B,NA
1050,100MB,A/B,NA
1051,10MB,A/B,NA
1052,100MB,A/B,NA
1053,10GB,A/B,NA
1054,1GB,A/B,NA
1055,100MB,A/B,Sometimes
1056,1GB,A/B,Often
1057,10GB,A/B,NA
1058,1TB,A/B,NA
1059,1GB,A/B,NA
1060,100MB,A/B,NA
1061,10GB,A/B,NA
1062,10GB,A/B,NA
1063,1MB,A/B,NA
1064,10GB,A/B,NA
1065,1GB,A/B,NA
1066,100MB,A/B,Sometimes
1067,1GB,A/B,NA
1068,10GB,A/B,NA
1069,10GB,A/B,NA
1070,100GB,A/B,NA
1071,10GB,A/B,NA
1072,100MB,A/B,Often
1073,10GB,A/B,Rarely
1074,NA,A/B,NA
1075,1GB,A/B,NA
1076,1TB,A/B,NA
1077,100MB,A/B,NA
1078,10GB,A/B,Sometimes
1079,NA,A/B,NA
1080,10MB,A/B,NA
1081,1GB,A/B,NA
1082,100MB,A/B,Sometimes
1083,NA,A/B,NA
1084,1TB,A/B,NA
1085,1GB,A/B,NA
1086,NA,A/B,Most of the time
1087,1GB,A/B,NA
1088,1MB,A/B,NA
1089,<1MB,A/B,Often
1090,1GB,A/B,NA
1091,1MB,A/B,NA
1092,10MB,A/B,Sometimes
1093,10MB,A/B,NA
1094,100MB,A/B,NA
1095,1PB,A/B,NA
1096,100GB,A/B,NA
1097,100GB,A/B,NA
1098,1GB,A/B,Most of the time
1099,1GB,A/B,Sometimes
1100,1GB,A/B,NA
1101,10GB,A/B,Sometimes
1102,1GB,A/B,NA
1103,1GB,A/B,NA
1104,1TB,A/B,NA
1105,1GB,A/B,NA
1106,1GB,A/B,Often
1107,NA,A/B,NA
1108,10MB,A/B,NA
1109,1TB,A/B,Most of the time
1110,100MB,A/B,Sometimes
1111,1GB,A/B,Sometimes
1112,1GB,A/B,Sometimes
1113,100MB,A/B,NA
1114,10GB,A/B,Most of the time
1115,10GB,A/B,NA
1116,1GB,A/B,NA
1117,100MB,A/B,NA
1118,10GB,A/B,NA
1119,100MB,A/B,NA
1120,100MB,A/B,NA
1121,100GB,A/B,NA
1122,100MB,A/B,Often
1123,1GB,A/B,NA
1124,NA,A/B,Often
1125,100GB,A/B,NA
1126,100MB,A/B,NA
1127,NA,A/B,NA
1128,10MB,A/B,NA
1129,NA,A/B,NA
1130,1TB,A/B,NA
1131,NA,A/B,NA
1132,1GB,A/B,NA
1133,10MB,A/B,NA
1134,100GB,A/B,NA
1135,10GB,A/B,Sometimes
1136,100MB,A/B,NA
1137,10TB,A/B,NA
1138,1GB,A/B,Often
1139,100MB,A/B,NA
1140,10GB,A/B,NA
1141,100MB,A/B,NA
1142,100MB,A/B,NA
1143,10TB,A/B,NA
1144,10MB,A/B,NA
1145,10GB,A/B,NA
1146,10MB,A/B,Sometimes
1147,100MB,A/B,Sometimes
1148,NA,A/B,NA
1149,NA,A/B,NA
1150,NA,A/B,NA
1151,100MB,A/B,NA
1152,NA,A/B,NA
1153,<1MB,A/B,NA
1154,NA,A/B,NA
1155,NA,A/B,NA
1156,NA,A/B,NA
1157,1TB,A/B,NA
1158,NA,A/B,NA
1159,NA,A/B,NA
1160,NA,A/B,NA
1161,NA,A/B,NA
1162,NA,A/B,NA
1163,100MB,A/B,NA
1164,NA,A/B,NA
1165,1TB,A/B,NA
1166,10GB,A/B,NA
1167,NA,A/B,NA
1168,10GB,A/B,NA
1169,NA,A/B,NA
1170,1GB,A/B,Sometimes
1171,1GB,A/B,Often
1172,100MB,A/B,NA
1173,10GB,A/B,NA
1174,100MB,A/B,NA
1175,100GB,A/B,NA
1176,NA,A/B,NA
1177,1GB,A/B,NA
1178,10MB,A/B,NA
1179,1GB,A/B,Rarely
1180,1GB,A/B,NA
1181,NA,A/B,NA
1182,10MB,A/B,NA
1183,NA,A/B,NA
1184,1GB,A/B,NA
1185,100GB,A/B,NA
1186,100GB,A/B,NA
1187,NA,A/B,NA
1188,100MB,A/B,Rarely
1189,10MB,A/B,NA
1190,NA,A/B,NA
1191,NA,A/B,NA
1192,100GB,A/B,Often
1193,1GB,A/B,NA
1194,1GB,A/B,NA
1195,NA,A/B,NA
1196,1TB,A/B,NA
1197,10MB,A/B,NA
1198,10GB,A/B,NA
1199,10MB,A/B,NA
1200,1GB,A/B,NA
1201,NA,A/B,NA
1202,NA,A/B,NA
1203,1GB,A/B,NA
1204,10MB,A/B,NA
1205,1GB,A/B,Often
1206,NA,A/B,NA
1207,100GB,A/B,NA
1208,NA,A/B,NA
1209,100MB,A/B,NA
1210,100MB,A/B,NA
1211,10TB,A/B,NA
1212,NA,A/B,Often
1213,NA,A/B,NA
1214,100MB,A/B,NA
1215,100GB,A/B,NA
1216,NA,A/B,NA
1217,10MB,A/B,Sometimes
1218,1GB,A/B,NA
1219,1GB,A/B,NA
1220,100GB,A/B,NA
1221,1GB,A/B,NA
1222,100MB,A/B,NA
1223,100MB,A/B,Sometimes
1224,1GB,A/B,NA
1225,1GB,A/B,NA
1226,10MB,A/B,NA
1227,10GB,A/B,Often
1228,100GB,A/B,NA
1229,NA,A/B,NA
1230,NA,A/B,NA
1231,100GB,A/B,NA
1232,1GB,A/B,NA
1233,100MB,A/B,NA
1234,NA,A/B,NA
1235,1TB,A/B,NA
1236,100MB,A/B,NA
1237,100MB,A/B,Rarely
1238,NA,A/B,NA
1239,1GB,A/B,NA
1240,NA,A/B,NA
1241,NA,A/B,NA
1242,10MB,A/B,Sometimes
1243,100MB,A/B,NA
1244,10TB,A/B,Most of the time
1245,10MB,A/B,NA
1246,10MB,A/B,NA
1247,10MB,A/B,NA
1248,NA,A/B,NA
1249,NA,A/B,NA
1250,10PB,A/B,NA
1251,10TB,A/B,Often
1252,10GB,A/B,NA
1253,1TB,A/B,Often
1254,10MB,A/B,NA
1255,NA,A/B,NA
1256,10MB,A/B,NA
1257,NA,A/B,NA
1258,10MB,A/B,NA
1259,100GB,A/B,Most of the time
1260,NA,A/B,NA
1261,10MB,A/B,NA
1262,100GB,A/B,NA
1263,1MB,A/B,NA
1264,1TB,A/B,Sometimes
1265,NA,A/B,NA
1266,10GB,A/B,NA
1267,NA,A/B,NA
1268,10TB,A/B,Sometimes
1269,NA,A/B,NA
1270,NA,A/B,NA
1271,NA,A/B,NA
1272,NA,A/B,NA
1273,1GB,A/B,NA
1274,NA,A/B,Most of the time
1275,1GB,A/B,NA
1276,10MB,A/B,Often
1277,1GB,A/B,NA
1278,1TB,A/B,NA
1279,NA,A/B,NA
1280,NA,A/B,NA
1281,NA,A/B,NA
1282,100GB,A/B,NA
1283,NA,A/B,NA
1284,1TB,A/B,NA
1285,10MB,A/B,NA
1286,10TB,A/B,NA
1287,NA,A/B,NA
1288,1MB,A/B,NA
1289,NA,A/B,NA
1290,1GB,A/B,NA
1291,NA,A/B,NA
1292,1TB,A/B,NA
1293,100MB,A/B,NA
1294,1GB,A/B,NA
1295,10GB,A/B,Most of the time
1296,100MB,A/B,NA
1297,1GB,A/B,NA
1298,NA,A/B,NA
1299,1GB,A/B,NA
1300,100MB,A/B,NA
1301,1GB,A/B,NA
1302,100MB,A/B,NA
1303,1GB,A/B,Often
1304,100MB,A/B,NA
1305,1GB,A/B,NA
1306,1GB,A/B,NA
1307,NA,A/B,NA
1308,100GB,A/B,NA
1309,1GB,A/B,NA
1310,1TB,A/B,NA
1311,NA,A/B,NA
1312,NA,A/B,NA
1313,NA,A/B,NA
1314,1GB,A/B,Often
1315,100MB,A/B,NA
1316,100MB,A/B,NA
1317,NA,A/B,NA
1318,NA,A/B,NA
1319,NA,A/B,NA
1320,100GB,A/B,NA
1321,10TB,A/B,Sometimes
1322,1GB,A/B,Often
1323,NA,A/B,NA
1324,10MB,A/B,NA
1325,100MB,A/B,NA
1326,10GB,A/B,NA
1327,1GB,A/B,NA
1328,1GB,A/B,NA
1329,NA,A/B,NA
1330,10GB,A/B,NA
1331,1TB,A/B,NA
1332,100GB,A/B,Most of the time
1333,100MB,A/B,NA
1334,NA,A/B,NA
1335,10GB,A/B,NA
1336,1GB,A/B,NA
1337,100MB,A/B,NA
1338,10GB,A/B,Often
1339,NA,A/B,NA
1340,100GB,A/B,NA
1341,<1MB,A/B,NA
1342,NA,A/B,NA
1343,NA,A/B,NA
1344,NA,A/B,NA
1345,NA,A/B,NA
1346,1GB,A/B,NA
1347,NA,A/B,Sometimes
1348,1GB,A/B,NA
1349,100MB,A/B,Rarely
1350,NA,A/B,NA
1351,NA,A/B,NA
1352,10MB,A/B,NA
1353,NA,A/B,NA
1354,100MB,A/B,Sometimes
1355,NA,A/B,NA
1356,1GB,A/B,Often
1357,1GB,A/B,NA
1358,NA,A/B,NA
1359,1GB,A/B,NA
1360,NA,A/B,NA
1361,NA,A/B,NA
1362,1MB,A/B,NA
1363,100GB,A/B,NA
1364,1GB,A/B,NA
1365,100GB,A/B,Rarely
1366,10MB,A/B,NA
1367,10GB,A/B,NA
1368,100MB,A/B,NA
1369,10GB,A/B,Often
1370,10GB,A/B,NA
1371,1GB,A/B,Often
1372,NA,A/B,NA
1373,10GB,A/B,Often
1374,100TB,A/B,NA
1375,NA,A/B,NA
1376,10MB,A/B,NA
1377,NA,A/B,NA
1378,100MB,A/B,Sometimes
1379,NA,A/B,NA
1380,NA,A/B,NA
1381,10GB,A/B,NA
1382,1TB,A/B,NA
1383,1GB,A/B,NA
1384,1MB,A/B,NA
1385,NA,A/B,NA
1386,1GB,A/B,Sometimes
1387,10GB,A/B,NA
1388,10GB,A/B,NA
1389,NA,A/B,NA
1390,100GB,A/B,NA
1391,NA,A/B,NA
1392,10GB,A/B,NA
1393,NA,A/B,NA
1394,1GB,A/B,Often
1395,NA,A/B,NA
1396,100MB,A/B,NA
1397,100MB,A/B,Often
1398,100MB,A/B,Sometimes
1399,NA,A/B,NA
1400,NA,A/B,NA
1401,NA,A/B,NA
1402,NA,A/B,NA
1403,100GB,A/B,NA
1404,100MB,A/B,NA
1405,1TB,A/B,NA
1406,100MB,A/B,NA
1407,10GB,A/B,NA
1408,10GB,A/B,NA
1409,100MB,A/B,NA
1410,NA,A/B,NA
1411,100MB,A/B,Often
1412,1GB,A/B,NA
1413,1TB,A/B,Sometimes
1414,NA,A/B,NA
1415,NA,A/B,NA
1416,10GB,A/B,NA
1417,1TB,A/B,NA
1418,NA,A/B,NA
1419,10TB,A/B,NA
1420,10TB,A/B,Sometimes
1421,100MB,A/B,NA
1422,1GB,A/B,NA
1423,100MB,A/B,NA
1424,10GB,A/B,NA
1425,1GB,A/B,NA
1426,NA,A/B,NA
1427,1GB,A/B,NA
1428,10MB,A/B,Often
1429,NA,A/B,NA
1430,1GB,A/B,NA
1431,1GB,A/B,NA
1432,NA,A/B,NA
1433,1GB,A/B,NA
1434,10GB,A/B,NA
1435,1GB,A/B,Often
1436,NA,A/B,Rarely
1437,1GB,A/B,NA
1438,1GB,A/B,NA
1439,NA,A/B,NA
1440,100GB,A/B,NA
1441,NA,A/B,NA
1442,100MB,A/B,NA
1443,100MB,A/B,NA
1444,10GB,A/B,NA
1445,10GB,A/B,Often
1446,100MB,A/B,NA
1447,100MB,A/B,NA
1448,10GB,A/B,NA
1449,1GB,A/B,Often
1450,1GB,A/B,NA
1451,NA,A/B,NA
1452,1GB,A/B,NA
1453,1GB,A/B,NA
1454,100MB,A/B,NA
1455,NA,A/B,NA
1456,1GB,A/B,NA
1457,10GB,A/B,NA
1458,10GB,A/B,Often
1459,10GB,A/B,Rarely
1460,100MB,A/B,NA
1461,100GB,A/B,Rarely
1462,NA,A/B,NA
1463,NA,A/B,NA
1464,NA,A/B,NA
1465,100GB,A/B,NA
1466,NA,A/B,NA
1467,1GB,A/B,NA
1468,1GB,A/B,Often
1469,100GB,A/B,NA
1470,NA,A/B,NA
1471,1GB,A/B,NA
1472,10GB,A/B,Sometimes
1473,100MB,A/B,NA
1474,100MB,A/B,NA
1475,NA,A/B,NA
1476,100MB,A/B,Often
1477,<1MB,A/B,NA
1478,NA,A/B,NA
1479,NA,A/B,NA
1480,NA,A/B,NA
1481,100MB,A/B,NA
1482,10MB,A/B,NA
1483,10GB,A/B,NA
1484,1MB,A/B,NA
1485,10MB,A/B,NA
1486,100GB,A/B,NA
1487,NA,A/B,NA
1488,NA,A/B,NA
1489,NA,A/B,NA
1490,1GB,A/B,NA
1491,100MB,A/B,NA
1492,1GB,A/B,NA
1493,<1MB,A/B,NA
1494,1GB,A/B,Often
1495,NA,A/B,Most of the time
1496,1MB,A/B,NA
1497,10GB,A/B,Most of the time
1498,100MB,A/B,NA
1499,NA,A/B,NA
1500,10MB,A/B,NA
1501,1GB,A/B,NA
1502,1GB,A/B,NA
1503,100MB,A/B,NA
1504,1GB,A/B,Often
1505,NA,A/B,NA
1506,1GB,A/B,NA
1507,NA,A/B,NA
1508,100GB,A/B,NA
1509,100MB,A/B,NA
1510,NA,A/B,NA
1511,NA,A/B,NA
1512,NA,A/B,NA
1513,NA,A/B,NA
1514,NA,A/B,Often
1515,NA,A/B,NA
1516,NA,A/B,NA
1517,10MB,A/B,Rarely
1518,NA,A/B,Often
1519,NA,A/B,NA
1520,NA,A/B,NA
1521,10MB,A/B,NA
1522,100MB,A/B,NA
1523,10GB,A/B,NA
1524,NA,A/B,NA
1525,10GB,A/B,NA
1526,10MB,A/B,NA
1527,10GB,A/B,NA
1528,NA,A/B,NA
1529,1GB,A/B,NA
1530,100MB,A/B,NA
1531,10MB,A/B,NA
1532,10TB,A/B,Sometimes
1533,100MB,A/B,NA
1534,NA,A/B,NA
1535,10GB,A/B,NA
1536,100GB,A/B,NA
1537,NA,A/B,NA
1538,10MB,A/B,NA
1539,1GB,A/B,NA
1540,1GB,A/B,NA
1541,10GB,A/B,NA
1542,100GB,A/B,NA
1543,NA,A/B,NA
1544,10GB,A/B,NA
1545,NA,A/B,NA
1546,1TB,A/B,Most of the time
1547,10TB,A/B,NA
1548,100MB,A/B,Sometimes
1549,10MB,A/B,NA
1550,1GB,A/B,NA
1551,NA,A/B,NA
1552,NA,A/B,NA
1553,NA,A/B,NA
1554,NA,A/B,NA
1555,10GB,A/B,NA
1556,1GB,A/B,NA
1557,100GB,A/B,NA
1558,NA,A/B,NA
1559,10MB,A/B,NA
1560,10GB,A/B,Sometimes
1561,100MB,A/B,NA
1562,NA,A/B,NA
1563,10MB,A/B,NA
1564,10GB,A/B,Most of the time
1565,NA,A/B,NA
1566,1GB,A/B,NA
1567,10GB,A/B,Most of the time
1568,100GB,A/B,NA
1569,100MB,A/B,NA
1570,1GB,A/B,Sometimes
1571,1TB,A/B,NA
1572,10GB,A/B,NA
1573,1GB,A/B,NA
1574,100GB,A/B,NA
1575,1GB,A/B,NA
1576,NA,A/B,NA
1577,1GB,A/B,NA
1578,10GB,A/B,NA
1579,10GB,A/B,NA
1580,100MB,A/B,Most of the time
1581,NA,A/B,NA
1582,100GB,A/B,NA
1583,10GB,A/B,NA
1584,100MB,A/B,NA
1585,NA,A/B,NA
1586,1GB,A/B,NA
1587,100MB,A/B,NA
1588,10TB,A/B,NA
1589,100MB,A/B,NA
1590,1GB,A/B,NA
1591,10GB,A/B,NA
1592,NA,A/B,NA
1593,NA,A/B,NA
1594,NA,A/B,NA
1595,1GB,A/B,NA
1596,1GB,A/B,NA
1597,NA,A/B,NA
1598,NA,A/B,NA
1599,10MB,A/B,NA
1600,10GB,A/B,Most of the time
1601,100GB,A/B,NA
1602,100MB,A/B,NA
1603,1GB,A/B,NA
1604,NA,A/B,NA
1605,100MB,A/B,NA
1606,10TB,A/B,Often
1607,NA,A/B,NA
1608,1GB,A/B,Sometimes
1609,NA,A/B,NA
1610,NA,A/B,NA
1611,1GB,A/B,NA
1612,1MB,A/B,NA
1613,10TB,A/B,NA
1614,NA,A/B,NA
1615,NA,A/B,NA
1616,NA,A/B,NA
1617,100MB,A/B,NA
1618,1GB,A/B,NA
1619,10MB,A/B,NA
1620,NA,A/B,NA
1621,1GB,A/B,NA
1622,1MB,A/B,NA
1623,1GB,A/B,NA
1624,10GB,A/B,Most of the time
1625,100GB,A/B,NA
1626,10MB,A/B,NA
1627,<1MB,A/B,NA
1628,10GB,A/B,NA
1629,NA,A/B,NA
1630,100MB,A/B,NA
1631,NA,A/B,NA
1632,100MB,A/B,Often
1633,100MB,A/B,NA
1634,1TB,A/B,NA
1635,10GB,A/B,Sometimes
1636,NA,A/B,NA
1637,10GB,A/B,Rarely
1638,NA,A/B,NA
1639,NA,A/B,NA
1640,100MB,A/B,NA
1641,1GB,A/B,NA
1642,NA,A/B,NA
1643,NA,A/B,NA
1644,NA,A/B,NA
1645,NA,A/B,NA
1646,NA,A/B,NA
1647,1GB,A/B,NA
1648,NA,A/B,NA
1649,100MB,A/B,Often
1650,10TB,A/B,NA
1651,1GB,A/B,Sometimes
1652,10TB,A/B,Most of the time
1653,NA,A/B,NA
1654,100GB,A/B,NA
1655,NA,A/B,NA
1656,100GB,A/B,NA
1657,1GB,A/B,Often
1658,1GB,A/B,NA
1659,10MB,A/B,NA
1660,100MB,A/B,NA
1661,>1EB,A/B,NA
1662,100MB,A/B,NA
1663,10GB,A/B,NA
1664,NA,A/B,NA
1665,1TB,A/B,NA
1666,100GB,A/B,NA
1667,NA,A/B,NA
1668,NA,A/B,NA
1669,1TB,A/B,NA
1670,<1MB,A/B,NA
1671,NA,A/B,NA
1672,1TB,A/B,NA
1673,100MB,A/B,Most of the time
1674,1GB,A/B,NA
1675,10GB,A/B,NA
1676,1GB,A/B,NA
1677,1TB,A/B,NA
1678,10MB,A/B,NA
1679,NA,A/B,NA
1680,100MB,A/B,NA
1681,1GB,A/B,NA
1682,NA,A/B,NA
1683,1GB,A/B,NA
1684,10TB,A/B,NA
1685,1GB,A/B,NA
1686,100GB,A/B,NA
1687,100TB,A/B,NA
1688,10TB,A/B,NA
1689,10GB,A/B,NA
1690,10GB,A/B,NA
1691,10GB,A/B,Rarely
1692,NA,A/B,NA
1693,100GB,A/B,NA
1694,NA,A/B,NA
1695,1GB,A/B,NA
1696,1GB,A/B,NA
1697,1GB,A/B,NA
1698,NA,A/B,NA
1699,100MB,A/B,NA
1700,1GB,A/B,NA
1701,1GB,A/B,NA
1702,1TB,A/B,Sometimes
1703,1GB,A/B,NA
1704,10MB,A/B,NA
1705,1GB,A/B,NA
1706,1GB,A/B,NA
1707,100MB,A/B,NA
1708,100GB,A/B,NA
1709,10MB,A/B,NA
1710,1GB,A/B,Rarely
1711,100GB,A/B,Sometimes
1712,100MB,A/B,NA
1713,1TB,A/B,NA
1714,NA,A/B,NA
1715,NA,A/B,NA
1716,10GB,A/B,NA
1717,1TB,A/B,NA
1718,100GB,A/B,NA
1719,1GB,A/B,NA
1720,100GB,A/B,NA
1721,100GB,A/B,NA
1722,NA,A/B,NA
1723,10MB,A/B,NA
1724,10GB,A/B,NA
1725,10TB,A/B,NA
1726,NA,A/B,NA
1727,10MB,A/B,NA
1728,NA,A/B,NA
1729,100MB,A/B,NA
1730,1GB,A/B,NA
1731,1GB,A/B,NA
1732,100MB,A/B,Often
1733,1TB,A/B,NA
1734,1GB,A/B,NA
1735,NA,A/B,NA
1736,100GB,A/B,NA
1737,100MB,A/B,NA
1738,10GB,A/B,Often
1739,100MB,A/B,NA
1740,10GB,A/B,NA
1741,10GB,A/B,Most of the time
1742,1GB,A/B,Most of the time
1743,100MB,A/B,NA
1744,NA,A/B,NA
1745,10GB,A/B,Sometimes
1746,NA,A/B,NA
1747,1GB,A/B,NA
1748,1GB,A/B,NA
1749,1GB,A/B,NA
1750,10GB,A/B,NA
1751,1TB,A/B,Often
1752,1GB,A/B,NA
1753,100GB,A/B,NA
1754,10GB,A/B,NA
1755,10GB,A/B,NA
1756,10MB,A/B,NA
1757,NA,A/B,NA
1758,1GB,A/B,NA
1759,100GB,A/B,NA
1760,10MB,A/B,NA
1761,NA,A/B,NA
1762,1GB,A/B,NA
1763,1GB,A/B,NA
1764,1GB,A/B,Sometimes
1765,1GB,A/B,Sometimes
1766,10GB,A/B,NA
1767,100MB,A/B,Rarely
1768,100MB,A/B,NA
1769,1GB,A/B,NA
1770,10GB,A/B,Often
1771,NA,A/B,NA
1772,100TB,A/B,NA
1773,10GB,A/B,NA
1774,10GB,A/B,NA
1775,100MB,A/B,Often
1776,NA,A/B,NA
1777,100GB,A/B,NA
1778,NA,A/B,NA
1779,NA,A/B,NA
1780,NA,A/B,NA
1781,100MB,A/B,NA
1782,10GB,A/B,Most of the time
1783,NA,A/B,NA
1784,NA,A/B,NA
1785,1EB,A/B,NA
1786,100TB,A/B,NA
1787,10PB,A/B,Most of the time
1788,10GB,A/B,NA
1789,1GB,A/B,NA
1790,10MB,A/B,NA
1791,1GB,A/B,NA
1792,10MB,A/B,NA
1793,NA,A/B,NA
1794,1GB,A/B,NA
1795,100MB,A/B,NA
1796,1GB,A/B,NA
1797,1GB,A/B,NA
1798,10GB,A/B,NA
1799,1TB,A/B,NA
1800,100MB,A/B,NA
1801,NA,A/B,NA
1802,10GB,A/B,NA
1803,1GB,A/B,NA
1804,10GB,A/B,NA
1805,10MB,A/B,Sometimes
1806,<1MB,A/B,NA
1807,NA,A/B,NA
1808,NA,A/B,NA
1809,100GB,A/B,NA
1810,NA,A/B,NA
1811,10MB,A/B,NA
1812,1GB,A/B,NA
1813,10GB,A/B,NA
1814,10GB,A/B,NA
1815,1TB,A/B,Most of the time
1816,10GB,A/B,NA
1817,100MB,A/B,NA
1818,1GB,A/B,NA
1819,100GB,A/B,Often
1820,100MB,A/B,NA
1821,1GB,A/B,NA
1822,1GB,A/B,Rarely
1823,NA,A/B,NA
1824,100MB,A/B,NA
1825,100MB,A/B,NA
1826,100MB,A/B,NA
1827,10GB,A/B,NA
1828,100MB,A/B,NA
1829,10GB,A/B,Sometimes
1830,100MB,A/B,Often
1831,100MB,A/B,Often
1832,10MB,A/B,NA
1833,10TB,A/B,NA
1834,100MB,A/B,NA
1835,10GB,A/B,NA
1836,1MB,A/B,NA
1837,10GB,A/B,NA
1838,NA,A/B,Rarely
1839,1GB,A/B,NA
1840,1GB,A/B,NA
1841,100MB,A/B,NA
1842,100GB,A/B,NA
1843,NA,A/B,NA
1844,100TB,A/B,NA
1845,NA,A/B,NA
1846,100GB,A/B,NA
1847,100PB,A/B,NA
1848,NA,A/B,NA
1849,100MB,A/B,NA
1850,1TB,A/B,Most of the time
1851,10GB,A/B,NA
1852,1GB,A/B,NA
1853,100GB,A/B,NA
1854,10MB,A/B,NA
1855,1GB,A/B,NA
1856,NA,A/B,NA
1857,100MB,A/B,NA
1858,1GB,A/B,NA
1859,100MB,A/B,Rarely
1860,10GB,A/B,Sometimes
1861,10MB,A/B,NA
1862,100MB,A/B,NA
1863,100GB,A/B,NA
1864,1GB,A/B,NA
1865,1MB,A/B,NA
1866,NA,A/B,NA
1867,1MB,A/B,Rarely
1868,100MB,A/B,NA
1869,NA,A/B,NA
1870,1GB,A/B,NA
1871,NA,A/B,NA
1872,10TB,A/B,Sometimes
1873,100GB,A/B,Sometimes
1874,100MB,A/B,NA
1875,100MB,A/B,NA
1876,NA,A/B,NA
1877,10MB,A/B,Sometimes
1878,1GB,A/B,NA
1879,10GB,A/B,NA
1880,100MB,A/B,Often
1881,NA,A/B,NA
1882,10GB,A/B,NA
1883,100GB,A/B,NA
1884,100GB,A/B,Sometimes
1885,100GB,A/B,NA
1886,1GB,A/B,NA
1887,100MB,A/B,NA
1888,NA,A/B,NA
1889,NA,A/B,NA
1890,NA,A/B,NA
1891,<1MB,A/B,NA
1892,1GB,A/B,Rarely
1893,NA,A/B,NA
1894,10GB,A/B,Often
1895,1MB,A/B,NA
1896,100MB,A/B,Often
1897,1MB,A/B,NA
1898,1TB,A/B,NA
1899,1GB,A/B,NA
1900,100MB,A/B,NA
1901,NA,A/B,NA
1902,10GB,A/B,Often
1903,100GB,A/B,NA
1904,1MB,A/B,Sometimes
1905,NA,A/B,NA
1906,<1MB,A/B,NA
1907,NA,A/B,NA
1908,NA,A/B,NA
1909,10MB,A/B,NA
1910,NA,A/B,NA
1911,100MB,A/B,NA
1912,10GB,A/B,NA
1913,1GB,A/B,NA
1914,100TB,A/B,Often
1915,1GB,A/B,NA
1916,NA,A/B,NA
1917,NA,A/B,NA
1918,1GB,A/B,NA
1919,10GB,A/B,NA
1920,1GB,A/B,NA
1921,100MB,A/B,NA
1922,1GB,A/B,NA
1923,NA,A/B,NA
1924,10GB,A/B,Sometimes
1925,NA,A/B,NA
1926,1GB,A/B,NA
1927,NA,A/B,NA
1928,10GB,A/B,NA
1929,10GB,A/B,Sometimes
1930,NA,A/B,NA
1931,10GB,A/B,NA
1932,10GB,A/B,NA
1933,NA,A/B,NA
1934,10GB,A/B,Sometimes
1935,100MB,A/B,Often
1936,NA,A/B,NA
1937,NA,A/B,NA
1938,1GB,A/B,NA
1939,100GB,A/B,NA
1940,10MB,A/B,NA
1941,10GB,A/B,Often
1942,1GB,A/B,Often
1943,100GB,A/B,NA
1944,1GB,A/B,NA
1945,100GB,A/B,Most of the time
1946,NA,A/B,NA
1947,NA,A/B,NA
1948,NA,A/B,NA
1949,NA,A/B,NA
1950,10TB,A/B,NA
1951,100GB,A/B,NA
1952,NA,A/B,NA
1953,10MB,A/B,NA
1954,NA,A/B,NA
1955,1GB,A/B,NA
1956,10GB,A/B,NA
1957,NA,A/B,NA
1958,NA,A/B,NA
1959,10GB,A/B,NA
1960,NA,A/B,NA
1961,1GB,A/B,Often
1962,10GB,A/B,NA
1963,NA,A/B,NA
1964,100GB,A/B,NA
1965,10GB,A/B,NA
1966,1GB,A/B,Rarely
1967,1GB,A/B,NA
1968,100GB,A/B,NA
1969,1TB,A/B,NA
1970,NA,A/B,NA
1971,1TB,A/B,NA
1972,100MB,A/B,Rarely
1973,1GB,A/B,NA
1974,1TB,A/B,Often
1975,100MB,A/B,NA
1976,100MB,A/B,NA
1977,1GB,A/B,NA
1978,1GB,A/B,NA
1979,10GB,A/B,NA
1980,1GB,A/B,NA
1981,1GB,A/B,NA
1982,10MB,A/B,Rarely
1983,10TB,A/B,NA
1984,1GB,A/B,Often
1985,100MB,A/B,NA
1986,1GB,A/B,NA
1987,100GB,A/B,NA
1988,10GB,A/B,NA
1989,1GB,A/B,NA
1990,100MB,A/B,NA
1991,100MB,A/B,NA
1992,1GB,A/B,NA
1993,1GB,A/B,NA
1994,NA,A/B,NA
1995,1GB,A/B,NA
1996,10GB,A/B,NA
1997,1GB,A/B,NA
1998,NA,A/B,NA
1999,100GB,A/B,NA
2000,1TB,A/B,NA
2001,10MB,A/B,NA
2002,NA,A/B,NA
2003,NA,A/B,NA
2004,NA,A/B,NA
2005,10GB,A/B,NA
2006,10GB,A/B,NA
2007,NA,A/B,NA
2008,NA,A/B,NA
2009,100TB,A/B,Sometimes
2010,NA,A/B,NA
2011,1MB,A/B,NA
2012,<1MB,A/B,NA
2013,1GB,A/B,NA
2014,<1MB,A/B,NA
2015,100MB,A/B,NA
2016,1TB,A/B,NA
2017,<1MB,A/B,NA
2018,1GB,A/B,NA
2019,1GB,A/B,Sometimes
2020,10GB,A/B,Rarely
2021,10GB,A/B,NA
2022,NA,A/B,NA
2023,10GB,A/B,NA
2024,1GB,A/B,NA
2025,NA,A/B,NA
2026,100MB,A/B,NA
2027,10MB,A/B,NA
2028,100GB,A/B,NA
2029,1GB,A/B,Often
2030,1GB,A/B,NA
2031,10GB,A/B,Often
2032,NA,A/B,NA
2033,100GB,A/B,NA
2034,100MB,A/B,Sometimes
2035,10MB,A/B,NA
2036,10GB,A/B,NA
2037,10MB,A/B,NA
2038,1GB,A/B,NA
